name,value,zone,dehkia_two,tf
--- Trash Loot ---,,,
Aakman's Guardian Token,13120,Aakman,
Tainted Aakman's Token,32900,[Dekhia] Aakman,
Broken Shackles,500,Abandoned Iron Mine,
Shadow Knight's Armor Ornament,15000,Abandoned Monastery,
Chilled Soul Piece,105640,Aetherion Castle,
Covetous Eye,16000,[Elvia] Altar Imps,
Specter's Cloth,35000,Ash Forest,
Tainted Specter's Cloth,52500,[Dehkia] Ash Forest,[Dehkia II] Ash Forest
Bashim Mane,14800,Bashim Base,
Basilisk Scale,8300,Basilisk Den,
Proof of Reckless Courage,16000,[Elvia] Biraghi Den,
Blood Wolf Mane,7764,Blood Wolf Settlement,
Proof of Blind Faith,19000,[Elvia] Bloody Monastery,
Torn Buccaneer Lapel,13470,Bumblin' Buccaneers,
Cadry's Token,15700,Cadry Ruins,
Tainted Cadry's Token,35880,[Dehkia] Cadry Ruins,
Mark of Desperate Rebels,17500,[Elvia] Castle Ruins,
Catfishman Scale,4600,Catfishman Camp,
Centaurus Mane,21900,Centaurus Herd,
Mark of the Black Sands,32900,City of the Dead,
Token of Crescent,10600,Crescent Shrine,
Tainted Token of Crescent,38800,[Dehkia] Crescent Shrine,
Abyssal Ash,38000,Crypt of Resting Thoughts,
Huge Spear,7700,Cyclops Land,
Tainted Huge Spear,32950,[Dehkia] Cyclops Land,
Tainted Armor Fragment,100507,Dark Energy Floodlands,
Decayed Cloth,45570,Darkseekers' Retreat,
Desert Naga's Webfoot,12700,Desert Naga Temple,
Discarded Kkebicap,52571,Dokkebi Forest,
Cultist's Token,720,Elric Shrine,
Evergrowing Scale,24350,Erethea's Limbo,
Fadus Armor Fragment,9671,Fadus Habitat,
Hoof of Forest Ronaros,13490,Forest Ronaros Area,
Shiny Treasure,59415,Fortunate Golden Pig Cave,
Gahaz Seal,20930,Gahaz Bandit's Lair,
Shattered Treasures,59415,Golden Pig Cave,
Bronze Fragment of Delusion,25120,Gyfin Rhasia Temple (Under),
Fragment of Bronze Artifact,16400,Gyfin Rhasia Temple (Upper),
Tainted Bronze Fragment,125900,[Dehkia] Gyfin Rhasia Temple (Upper),
Mysterious Rock Fragment,1700,Hasrah Cliff,
Helmet Ornament,840,Helms Post,
Sharp Bone Fragment,6200,Hexe Sanctuary,
Howling Bone Fragment,26190,[Elvia] Hexe Sanctuary,
Faded Bandit Mask,20520,Honglim Base,
Hystria Ruins Fragment,20370,Hystria Ruins,
Tainted Ruins Fragment,34270,[Dehkia] Hystria Ruins,
Jade Starlit Powder,20140,Jade Starlight Forest,
Iridescent Rock Piece,8000,Kratuga Ancient Ruins,
Bunch of Loose Mane Hair,550,Manes Hideout,
Corrupt Crystal,7500,Mansha Forest,
Narc Magic Mark,12770,Manshaum Forest,
Degraded Wood Fragment,18200,Mirumok Ruins,
Tainted Wood Fragment,101500,[Dehkia] Mirumok Ruins,[Dehkia] Mirumok Ruins
Decomposed Exocrine Gland,11980,Murrowak's Labyrinth,
Gazelle Fur,220,Navarn Steppe,
Griffon Beak,21150,Navarn Steppe,
Ferri Beak,3750,Navarn Steppe,
Belladonna Elephant Ivory Piece,5580,Navarn Steppe,
Black Leopard Fang,19520,Navarn Steppe,
Feather Wolf Tail,3020,Navarn Steppe,
Contaminated Coral Piece,115200,Nymphamaré Castle,
Golem's Heart Fragment,107000,Olun's Valley,
Tainted Golem's Heart Fragment,111700,[Dehkia] Olun's Valley,[Dehkia II] Olun's Valley
Lightlost Core,140600,Orbita Castle,
Oily Orange Mushroom,18500,[Elvia] Orc Camp,
Thorn-Entwined Weapon Fragment,96040,Orzekea,
Outlaw's Mark,15000,Padix Island,
Warder'd Token Piece,16400,Pila Ku Jail,
Tainted Token Piece,30900,[Dehkia] Pila Ku Jail,
Mushroom Hypha,9720,Polly's Forest,
Scornful Spear,20000,[Elvia] Primal Giant Post,
Protty Fin,10500,Protty Cave,
Fiery Troll Hide,96750,[Elvia] Quint Hill,
Broken Rhutum Fang,6000,Rhutum Outstation,
Gnawing Rhutum Fang,18575,[Elvia] Rhutum Outstation,
Sulfur Fragment,18600,Roud Sulfur Mine,
Tainted Sulfur Fragment,31500,[Elvia] Roud Sulfur Mine,
Icy Armor Fragment,17520,[Elvia] Saunil Camp,
Armor Fragment,476,Sausan Garrison,
Robe Piece,504,Sausan Garrison,
Sausan Supply Package,800,Sausan Garrison,
Token of Bravery,12750,Sherekhan Necropolis (Day),
Medal of Bravery,57777,Sherekhan Necropolis (Night),
Armor Fragment,11050,Shultz Guard,
Old Identification Tag,700,Soldier's Cemetery,
Spell Necklace Ornament,635,Soldier's Cemetery,
Mark of Frenzy,900,Soldier's Cemetery,
Corrupted Sanguine Crystal,155000,Star's End,
Hardened Casque,17000,[Elvia] Swamp Fogans,
Bruised Naga Fin,18000,[Elvia] Swamp Nagas,
Underwater Ancient Weapon Power Stone,107900,Sycraia Ruins (Lower),
Destroyed Ancient Weapon Power Stone,33800,Sycraia Ruins (Upper),
Ancient Soldier Fragment,147630,Tenebraum Castle,
Moonlight Spirit Powder,15000,Thornwood Forest,
Tainted Moonlight Spirit Powder,39000,[Dehkia] Thornwood Forest,
Desert Fogan's Helmet Shard,14500,Titium Valley,
Shard of the Vengeful Undead,1820,Traitor's Graveyard,
Swamp Leaves,8820,Tshira Ruins,
Tungrad Ruins Fragment,35100,Tungrad Ruins,
Broken Horn Fragment,18000,Tunkuta,
Tainted Broken Horn Fragment,40000,[Dehkia] Tunkuta,
Sanguine Crystal of Despair,15500,Vessel of Inquisition,
Useful Coin Pouch,780,Wandering Rogue Den,
Stone Waragon Hide,10000,Waragon Nest,
Winter Tree Snow Crystal,5620,Winter Tree Fossil,
Corrupt Power Source,25190,Yzrahid Highlands,
Hardened Lava Chunk,126980,Zephyros Castle,
--- Event Items ---
Mystical Eggstravagant Eggs,0,,
Radiant Adventure Seal,0,,
--- Unique Items ---
Destroyed Star Fragment,750,,
Old Warrior's Horn Decoration,12000,,
Mud Stained Branch,4902,,
Broken Desert Fogan Egg,80,,
Origin of Corruption,3000000000,,
Clear Blackstar Crystal,100000,,
Robe Piece,504,,
Sausan Supply Package,800,,
Sturdy Timber Fragment,184,,
Treant Spirit's Hope Belt,48750,,
Sycrid's Song,1000000,,
Soiled Sicil's Necklace,30000,,
Mutant Loah Flower,120000,,
Olucas,100000,,
Ancient Artifact,150,,
Hard Timber Fragment,175,,
Soiled Ogre Ring,30000,,
Treant Spirit's Echo Ring,46000,,
Sealed Ruined Slate,100000,,
Tattered Shadow,25207,,
Cursed Crystal,7200,,
Witch's Magic Amulet,20,,
Mediah Merchants Union Helm,150000,,
Rock Fragment,80,,
Elkarr,100000,,
Derek's Light Leather Shoes,120000,,
Faded Dark Energy,597680,,
Corrupted Gargoyle Claw,16990,,
Cursed Fang,150,,
Ah'krad,100000,,
Venomous Night Fang,30000,,
Soiled Ring of Crescent Guardian,30000,,
Soiled Centaurus Belt,30000,,
Treant Spirit's Whisper Earring,46000,,
Prognyl Silver Bar,20000,,
Viscous Liquid,35,,
Rusty Iron Piece,200,,
Sturdy Rock Fragment,160,,
Resplendently-lit Gemstone,5000000,,
Crimson Bell,30000,,
Yona's Fragment,50000,,
Okiara's Tide,3000000,,
Narc's Lightning,3000000,,
Valtarra's Flame,3000000,,
Seed of Void,10000000,,
WON Crystal of Dusky Ruin,500000000,,
WON Crystal of Ruin,5000000,,
BON Crystal of Dusky Ruin,700000000,,
BON Crystal of Ruin,7000000,,
JIN Crystal of Dusky Ruin,800000000,,
JIN Crystal of Ruin,8000000,,
HAN Crystal of Dusky Ruin,1000000000,,
HAN Crystal of Ruin,10000000,,
Primordial Fragment,30000000,,
Magic Crystal of Infinity Box,5800,,
Asula's Crimson Eye Necklace,150000,,
Asula's Crimson Eye Belt,150000,,
Asula's Crimson Eye Earring,150000,,
Asula's Crimson Eye Necklace,150000,,
Asula's Weakened Magic Necklace,100000,,
Asula's Weakened Magic Ring,100000,,
Asula's Weakened Magic Earring,100000,,
Asula's Weakened Magic Belt,100000,,
Beia's Black Magic Gloves,120000,,
Kagtunak,1000000,,
Black Energy Residue,3000,,
Magic Stone Fragment,760,,
Blood Wolf Tooth,5960,,
Faded Ball of Fur,580,,
Dew of Tranquil Forest,100000,,
Krea Main Weapon Box,19600,,
Rosar Main Weapon Box,16000,,
Seleth Main Weapon Box,13200,,
Kalis Main Weapon Box,14800,,
Yuria Main Weapon Box,18000,,
Bares Main Weapon Box,16400,,
Defensive Sub-weapon Box,12800,,
Offensive Sub-weapon Box,11200,,
Accuracy Sub-weapon Box,9600,,
Rosar Sub-weapon Box,16000,,
Krea Sub-weapon Box,14400,,
Agerian Defense Gear Box,9000,,
Rocaba Defense Gear Box,19400,,
Zereth Defense Gear Box,16200,,
Grunil Defense Gear Box,17800,,
Heve's Defense Gear Box,15400,,
Hercules' Defense Gear Box,12200,,
Fortuna's Luck Defense Gear Box,13800,,
Reliable Adventurer's Earring Box,12800,,
Empty Picture Frame,15348,,
Laila's Petal,500000,,
Mass of Pure Magic,51000,,
Earth Spirit Stone Fragment,50000,,
Water Spirit Stone Fragment,50000,,
Tree Spirit Stone Fragment,50000,,
Wind Spirit Stone Fragment,50000,,
Cron Stone,3000000,,
Intricately Patterned Mystical Shard,50000,,
Kuadir Fragment,50000,,
Specter's Energy,30000000,,
Ancient Spirit Dust,3000,,
Forgotten Limbo Box,0,,
Marni's Research Box,0,,
Black Stone Bundle,0,,
Destructive Illusion,0,,
Glimmering Treasure Key,0,,
Sparkling Treasure Key,0,,
Dazzling Treasure Key,0,,
Al Rhundi's Secret Orders,0,,
Mark of a Secret Organization,0,,
Golden Pigs Subjugation Token,0,,
Fortunate Golden Pig King Summon Scroll,0,,
Void Tainted Whispers,0,,
Ancient Spirit Light,0,,
Power Engine of Ancient Weapons,0,,
Forgotten Witch's Token,0,,
Murrowak Crystal Carapace,0,,
Lost Piece of a Forbidden Book,0,,
Bluish Sulfur,0,,
Faint Sycraia's Memory,0,,
Gentle Sycraia's Memory,0,,
Intense Sycraia's Memory,0,,
Radiant Sycraia's Memory,0,,
Sycrid's Scale Piece,0,,
Silver,1,,
--- Dehkia II ---
Dehkia's Artifact - All Evasion,9350000000,,,TRUE
Dehkia's Artifact - All Damage Reduction,9350000000,,,TRUE
Crystal of Unyielding Spirit,108000000,,,TRUE
Crystal of Dogged Patience,108000000,,,TRUE
Crystal of Stalwart Fortitude,471000000,,,TRUE
Crystal of Precise Destruction,108000000,,,TRUE
Dehkia's Fragment,93500000,,TRUE
--- Treasure Item Pieces ---
Lafi Bedmountain's Upgraded Telescope Parts,0,,
Lafi Bedmountain's Upgraded Compass Parts,0,,
Rich Merchant's Ring Piece,0,,
Map of Unknown Piece,0,,
Quturan's Left Lung,0,,
Quturan's Right Lung,0,,
Quturan's Black Leaf,0,,
Quturan's Ashen Leaf,0,,
Atanis Element,0,,
Blood Wolf's Oath,0,,
Ancient Ash Halfmoon Kagtunak,0,,
Tranquil Tinniolum,0,,
Ancient Ron's Tintinnabulum,0,,
Narc's Solace,0,,
Ancient Narc's Crimson Tear,0,,
Valtarra's Memory,0,,
Ancient Valtarra's Clairvoyance,0,,
Dragon's Fang,0,,
Ancient Sherekhan's Panacea,0,,
Katzvariak's Venom,0,,
Ancient Markthanan's Gland,0,,
--- Paint ---,,,
Tungrad Ruins Paint,0,,
Darkseekers' Retreat Paint,0,,
City of the Dead Paint,0,,
Aakman Temple Paint,0,,
Ash Forest Paint,0,,
Crypt of Resting Thoughts Paint,0,,
Hystria Ruins Paint,0,,
Olun's Valley Paint,0,,
Padix Island Paint,0,,
Pila Ku Jail Paint,0,,
Roud Sulfur Mine Paint,0,,
Sycraia Underwater Ruins Paint,,,
--- Market Items (Unable to pull from arsha.io) ---
Violet Primordial Pigment - Edana,10800000000,,
Violet Primordial Pigment - Sovereign,35000000000,,
Crimson Primordial Pigment - Sovereign,10900000000,,
Corrupted Gluttony Crystal,2800000000,,
Iridescent Lightstone,3210000000,,
BON Dawn Crystal - Damage Reduction,935000000,,
WON Dawn Crystal - Damage Reduction,93500000,,
BON Dawn Crystal - Accuracy,93500000,,
WON Dawn Crystal - Accuracy,935000000,,
BON Dawn Crystal - Evasion,93500000,,
WON Dawn Crystal - Evasion,935000000,,
BON Dawn Crystal - Black Spirit's Rage,76000000,,
WON Dawn Crystal - Black Spirit's Rage,935000000,,
BON Dawn Crystal - All AP,935000000,,
WON Dawn Crystal - All AP,71500000,,
Black Spirit's Claw Piece,22400000,,
Ancient Relic Crystal Shard,162000,,
Forbidden Book,376000,,
Traveler's Map,1830000,,
Scroll Written in Ancient Language,401000,,
Sealed Black Magic Crystal,6000000,,
Kabua's Artifact,9350000000,,
Ancient Magic Crystal of Nature - Giant,1870000,,
Ancient Magic Crystal of Nature - Fighting Spirit,68500000,,
Ancient Magic Crystal of Nature - Adamantine,405000,,
Ancient Magic Crystal - Cobelinus,2830000,,
Ancient Magic Crystal - Carmae,268000,,
Ancient Magic Crystal - Addis,260000,,
Ancient Magic Crystal - Harphia,189000,,
Ancient Magic Crystal - Viper,190000,,
Ancient Magic Crystal of Abundance - Armor,242000,,
Magic Crystal of Infinity - Max HP,68500,,
Imperfect Lightstone of Wind,7400000,,
Imperfect Lightstone of Earth,7600000,,
Imperfect Lightstone of Fire,8550000,,
Combined Magic Crystal - Hoom,5900000,,
Combined Magic Crystal - Gervish,5900000,,
Combined Magic Crystal - Macalod,5900000,,
Part for Explorer's Compass,3730000,,
Guardian Spirit Stone,3140000,,
Destruction Spirit Stone,3900000,,
Life Spirit Stone,4490000,,
Swaying Wind Shard,130000,,
Rumbling Earth Shard,188000,,
Manshaum Voodoo Doll,700000,,
Krogdalo's Origin Stone,14400000,,
Pure Forest Breath,2330000,,
Fragment of the Deep Sea,1370000,,
--- Upgraded Accessories ---
I PRI: Deboreka Earring,1380000000,,
II DUO: Deboreka Earring,4220000000,,
III TRI: Deboreka Earring,10800000000,,
IV TET: Debreka Earring,33000000000,,
I PRI: Deboreka Belt,950000000,,
II DUO: Deboreka Belt,3440000000,,
III TRI: Deboreka Belt,8750000000,,
IV TET: Deboreka Belt,29400000000,,
I PRI: Deboreka Necklace,920000000,,
II DUO: Deboreka Necklace,2090000000,,
III TRI: Deboreka Necklace,7550000000,,
IV TET: Deboreka Necklace,24300000000,,
I PRI: Deboreka Ring,1040000000,,
II DUO: Deboreka Ring,3160000000,,
III TRI: Deboreka Ring,8700000000,,
IV TET: Deboreka Ring,28300000000,,
I PRI: Eye of the Ruins Ring,24700000,,
II DUO: Eye of the Ruins Ring,193000000,,
I PRI: Tungrad Earring,149000000,,
II DUO: Tungrad Earring,525000000,,
I PRI: Tungrad Necklace,151000000,,
II DUO: Tungrad Necklace,530000000,,
I PRI: Tungrad Ring,248000000,,
II DUO: Tungrad Ring,1030000000,,
I PRI: Tungrad Belt,127000000,,
II DUO: Tungrad Belt,496000000,,
I PRI: Revived River Necklace,810000000,,
II DUO: Revived River Necklace,2080000000,,
I PRI: Revived Lunar Necklace,167000000,,
II DUO: Revived Lunar Necklace,1760000000,,
I PRI: Basilisk's Belt,22100000,,
II DUO: Basilisk's Belt,122000000,,
I PRI: Ring of Cadry Guardian,259000000,,
II DUO: Ring of Cadry Guardian,730000000,,
I PRI: Serap's Necklace,75000000,,
II DUO: Serap's Necklace,190000000,,
I PRI: Centaurus Belt,183000000,,
II DUO: Centaurus Belt,570000000,,
I PRI: Ring of Crescent Guardian,35800000,,
II DUO: Ring of Crescent Guardian,209000000,,
I PRI: Dawn Earring,197000000,,
II DUO: Dawn Earring,1350000000,,
I PRI: Forest Ronaros Ring,39800000,,
II DUO: Forest Ronaros Ring,168000000,,
I PRI: Black Distortion Earring,265000000,,
II DUO: Black Distortion Earring,820000000,,
I PRI: Laytenn's Power Stone,146000000,,
II DUO: Laytenn's Power Stone,463000000,,
I PRI: Ogre Ring,144000000,,
II DUO: Ogre Ring,474000000,,
I PRI: Narc Ear Accessory,44700000,,
II DUO: Narc Ear Accessory,316000000,,
I PRI: Valtarra Eclipsed Belt,28000000,,
II DUO: Valtarra Eclipsed Belt,125000000,,
I PRI: Ocean Haze Ring,520000000,,
II DUO: Ocean Haze Ring,1400000000,,
I PRI: Sicil's Necklace,43400000,,
II DUO: Sicil's Necklace,189000000,,
I PRI: Rainbow Coral Ring,15800000,,
II DUO: Rainbow Coral Ring,100000000,,
I PRI: Rhutum Elite Belt,6850000,,
II DUO: Rhutum Elite Belt,25200000,,
I PRI: Orkinrad's Belt,28000000,,
II DUO: Orkinrad's Belt,179000000,,
I PRI: Necklace of Shultz the Gladiator,23400000,,
II DUO: Necklace of Shultz the Gladiator,60500000,,
I PRI: Belt of Shultz the Gladiator,8800000,,
II DUO: Belt of Shultz the Gladiator,42400000,,
I PRI: Mesto Earring,11600000,,
II DUO: Mesto Earring,80500000,,
I PRI: Ominous Ring,408000000,,
II DUO: Ominous Ring,1200000000,,
I PRI: Witch's Earring,5850000,,
II DUO: Witch's Earring,19700000,,
I PRI: Turo's Belt,150000000,,
II DUO: Turo's Belt,600000000,,
--- Artifacts ---
Lesha's Artifact - Monster Damage Reduction,0,,
Lesha's Artifact - All Evasion,0,,
Lesha's Artifact - All Damage Reduction,0,,
Lesha's Artifact - Ranged Evasion,0,,
Lesha's Artifact - Ranged Damage Reduction,0,,
Lesha's Artifact - Melee Evasion,0,,
Lesha's Artifact - Melee Damage Reduction,0,,
Lesha's Artifact - Magic Evasion,0,,
Lesha's Artifact - Magic Damage Reduction,0,,
Marsh's Artifact - Extra AP Against Monsters,0,,
Marsh's Artifact - Ranged AP,0,,
Marsh's Artifact - Melee AP,0,,
Marsh's Artifact - Magic AP,0,,
Marsh's Artifact - Magic Accuracy,0,,
Marsh's Artifact - Melee Accuracy,0,,
Marsh's Artifact - Ranged Accuracy,0,,
Marsh's Artifact - Magic Accuracy,0,,
Kehelle's Artifact - Black Spirit's Rage Max Increase,0,,
Kehelle's Artifact - Max Stamina,0,,
Kehelle's Artifact - Max HP,0,,